% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 27 2026, 19:30
% Table:              Tabla 9 - Valor propio 2
% n                                               lambda                                            Energía propia (eV)                               Probabilidad total (1)
1.1                                               0.19166679027140637                               0.19166679027140637                               0.9999999999999991
1.1                                               0.19724434936082058                               0.19724434936082058                               0.9999999999999977
1.1                                               0.19724435086951897                               0.19724435086951897                               0.9999999999999983
1.1                                               0.19839555725077096                               0.198395557250771                                 1.0000000000000018
1.125                                             0.08450404880204698                               0.08450404880204698                               0.9999999999999993
1.125                                             0.08565754877508572                               0.08565754877508573                               0.9999999999999993
1.125                                             0.08565754915346979                               0.08565754915346979                               0.9999999999999991
1.125                                             0.08909522806621588                               0.08909522806621588                               0.9999999999999971
1.125                                             0.08909968166175905                               0.08909968166175905                               1
1.125                                             0.09481117920741564                               0.09481117920741564                               1.0000000000000013
1.125                                             0.0948111796018695                                0.09481117960186951                               1.0000000000000004
1.125                                             0.09606887691177246                               0.09606887691177247                               0.9999999999999989
1.125                                             0.10210941430484154                               0.10210941430484154                               0.9999999999999992
1.125                                             0.10210954732540319                               0.1021095473254032                                1.0000000000000007
1.125                                             0.10279153820085983                               0.10279153820085983                               0.9999999999999988
1.125                                             0.1027919587106823                                0.1027919587106823                                0.9999999999999974
1.125                                             0.11302417810030606                               0.11302417810030606                               0.9999999999999997
1.125                                             0.11302417826419119                               0.11302417826419119                               0.9999999999999984
1.125                                             0.11349743216923291                               0.11349743216923291                               1.0000000000000002
1.125                                             0.12549190597583926                               0.12549190597583926                               1.000000000000001
1.125                                             0.12549192090037944                               0.12549192090037947                               0.9999999999999988
1.125                                             0.13304113270316603                               0.13304113270316603                               0.9999999999999979
1.125                                             0.14017372055899446                               0.14017372055899446                               0.9999999999999979
1.125                                             0.14017372114267224                               0.14017372114267224                               1.0000000000000002
1.125                                             0.15580828527122526                               0.15580828527122526                               1.0000000000000016
1.125                                             0.1558083135994406                                0.1558083135994406                                1
1.125                                             0.15704518788622088                               0.15704518788622088                               0.9999999999999997
1.125                                             0.1570451888704656                                0.1570451888704656                                0.9999999999999989
1.125                                             0.17607889492942141                               0.17607889492942141                               1.0000000000000002
1.125                                             0.1760788956035283                                0.1760788956035283                                1.0000000000000002
1.125                                             0.19270300766597448                               0.19270300766597448                               1.0000000000000002
1.125                                             0.19724434906903743                               0.19724434906903743                               0.9999999999999979
1.125                                             0.19724435089253756                               0.19724435089253756                               0.9999999999999998
1.125                                             0.1992963151322909                                0.1992963151322909                                1.0000000000000002
1.15                                              0.08450729686981079                               0.08450729686981079                               1.000000000000001
1.15                                              0.08565903289195544                               0.08565903289195544                               1.0000000000000027
1.15                                              0.08565903317655364                               0.08565903317655366                               0.9999999999999982
1.15                                              0.08909578144811232                               0.08909578144811232                               0.9999999999999984
1.15                                              0.08909984615652737                               0.08909984615652737                               1.000000000000001
1.15                                              0.09481137166331366                               0.09481137166331366                               1.0000000000000007
1.15                                              0.0948113720627565                                0.0948113720627565                                1.0000000000000004
1.15                                              0.09771076442663384                               0.09771076442663386                               0.9999999999999996
1.15                                              0.10279155332173004                               0.10279155332173004                               1.000000000000001
1.15                                              0.1027920663637692                                0.1027920663637692                                1.000000000000001
1.15                                              0.10370604713906789                               0.1037060471390679                                1.0000000000000013
1.15                                              0.10370624889765136                               0.10370624889765136                               0.9999999999999983
1.15                                              0.11302418530016933                               0.11302418530016933                               1.0000000000000007
1.15                                              0.11302418548736354                               0.11302418548736354                               0.9999999999999998
1.15                                              0.11503352571448752                               0.11503352571448754                               1.000000000000001
1.15                                              0.12549190955240078                               0.12549190955240078                               0.9999999999999999
1.15                                              0.12549192220651093                               0.12549192220651093                               0.9999999999999998
1.15                                              0.13433848952656727                               0.13433848952656727                               1.0000000000000016
1.15                                              0.14017372091724375                               0.14017372091724375                               0.9999999999999993
1.15                                              0.14017372158764632                               0.14017372158764632                               0.9999999999999974
1.15                                              0.1569896609033748                                0.1569896609033748                                0.9999999999999984
1.15                                              0.15699018339632334                               0.15699018339632334                               0.9999999999999996
1.15                                              0.15704518813493853                               0.15704518813493856                               0.9999999999999983
1.15                                              0.1570451891103393                                0.1570451891103393                                0.9999999999999994
1.15                                              0.17607889524297576                               0.17607889524297576                               0.9999999999999993
1.15                                              0.17607889578381916                               0.1760788957838192                                1
1.15                                              0.19374630039473706                               0.19374630039473706                               0.9999999999999994
1.15                                              0.19724434944262131                               0.19724434944262131                               0.9999999999999993
1.15                                              0.1972443510830248                                0.1972443510830248                                0.9999999999999998
1.15                                              0.2001824954386205                                0.2001824954386205                                1.0000000000000004
1.175                                             0.08450980698126696                               0.08450980698126696                               0.9999999999999984
1.175                                             0.08566027026540529                               0.08566027026540529                               1.000000000000002
