x_0(nm)	Estado_1(eV)	Estado_2(eV)	Estado_3(eV)	Estado_4(eV)	Estado_5(eV)	Estado_6(eV)	Estado_7(eV)	Estado_8(eV)	Estado_9(eV)	Estado_10(eV)	Estado_11(eV)	Estado_12(eV)	Estado_13(eV)	Estado_14(eV)	Estado_15(eV)	Estado_16(eV)	Estado_17(eV)	Estado_18(eV)	Estado_19(eV)	Estado_20(eV)
26	43.43405931	55.00404073	55.07203132	67.63172377	68.73112085	68.73116186	72.0048932	72.00576096	77.48076449	77.48076943	83.56922143	85.12332649	85.12334391	85.57965041	94.92088526	94.92088965	106.8539344	106.8539402	120.8991056	120.8991122
26.2	43.43392522	55.00324078	55.07121866	64.83752125	65.92841156	65.92846504	69.17639328	69.1768745	74.60457883	74.60458149	82.18246759	82.18248474	83.5666893	85.57746868	91.89635267	91.89636138	103.7261156	103.7261305	117.6477487	117.6477564
26.4	43.43376644	55.00200883	55.06996292	62.20646529	63.28940936	63.28948022	66.51071696	66.51099736	71.89266856	71.8926714	79.40681734	79.40684264	83.56504149	85.57597365	89.03812895	89.03813064	100.7658331	100.7658368	114.5652305	114.5652336
26.6	43.43357412	54.99984305	55.0677429	59.72644534	60.80247759	60.8026043	63.99608238	63.99627978	69.33284444	69.33284526	76.78412012	76.78413038	83.56387229	85.57487412	86.33384297	86.33384749	97.96060088	97.96061235	111.638955	111.638958
26.8	43.4333348	54.99498157	55.06270153	57.38700311	58.45890657	58.45921482	61.62222317	61.62235805	66.91462683	66.91463091	74.30386012	74.30388418	83.56299101	83.77300969	83.77301711	85.57402281	95.29996001	95.29996992	108.8584917	108.8585036
27	43.43302668	54.97403306	55.04005438	55.17817154	56.26209793	56.26410495	59.37923421	59.37933505	64.62804081	64.62804154	71.95607794	71.95609904	81.34566025	81.3456623	83.56229594	85.57333705	92.77394934	92.77396106	106.2139236	106.2139325
27.2	43.43261216	53.09083646	54.08810005	54.09087584	55.0517917	55.11704397	57.25800981	57.25808355	62.46389764	62.46389996	69.73154802	69.73156772	79.04252871	79.04253796	83.56172788	85.57276678	90.37326724	90.37328193	103.6958865	103.6958918
27.4	43.43202028	51.11670067	52.13557371	52.13584154	55.02122381	55.0889827	55.25019626	55.25025206	60.41380146	60.41380388	67.62184712	67.6218633	76.85517657	76.85518463	83.56124994	85.57227985	88.08945275	88.08945993	101.2959017	101.2959185
27.6	43.43109917	49.24814767	50.26354828	50.26363318	53.34802077	53.34806689	55.01552438	55.08346421	58.46992776	58.46992975	65.61909799	65.61911253	74.7756593	74.77566085	83.5608379	85.57185461	85.91446214	85.91447392	99.00583869	99.00584411
27.8	43.42945492	47.47850698	48.48652747	48.48656755	51.54444841	51.54448575	55.01312557	55.08111116	56.62524207	56.6252457	63.71629227	63.71630823	72.79700412	72.7970066	83.56047518	83.84139882	83.8414107	85.5714759	96.8188634	96.81886878
