x_0(nm)	Estado_1(eV)	Estado_2(eV)	Estado_3(eV)	Estado_4(eV)	Estado_5(eV)	Estado_6(eV)	Estado_7(eV)	Estado_8(eV)	Estado_9(eV)	Estado_10(eV)	Estado_11(eV)	Estado_12(eV)	Estado_13(eV)	Estado_14(eV)	Estado_15(eV)	Estado_16(eV)	Estado_17(eV)	Estado_18(eV)	Estado_19(eV)	Estado_20(eV)
39	-30.04330301	-22.62648937	-15.45587888	-8.518793545	-1.806843753	4.684765157	6.063058272	10.9575586	14.02137812	17.00989949	21.76650009	22.83700299	28.42789322	29.29000702	33.77164868	36.57762646	38.66721016	38.8484836	43.59632818	43.62262146
39.2	-30.44464258	-23.04393787	-15.88981399	-8.968732167	-2.271757733	4.206326537	5.100734662	10.46740475	13.05286439	16.51017802	20.7919599	22.33012076	27.9160908	28.31028417	33.26048717	35.59135091	38.34109132	38.66690939	42.6309782	43.10278898
39.4	-30.84138217	-23.45683756	-16.31926315	-9.414237688	-2.732291033	3.732210184	4.160018386	9.981503156	12.10597025	16.0146191	19.8389232	21.8273403	27.33910794	27.42106294	32.75291251	34.62629213	37.83699078	38.66669273	41.66041904	42.61144386
39.6	-31.23370641	-23.86536955	-16.74440241	-9.855478853	-3.18860607	3.240203812	3.262261134	9.499707398	11.17998767	15.52308613	18.90671866	21.32849736	26.40920033	26.90926109	32.24882022	33.68179829	37.33609713	38.66650292	40.71023011	42.12230407
39.8	-31.62182784	-24.26974716	-17.16544424	-10.29266286	-3.64090807	2.340572198	2.796275832	9.021815445	10.27419822	15.03537775	17.99463435	20.83338188	25.49135669	26.40896856	31.74800536	32.75717409	36.8382337	38.6663175	39.77966828	41.63527557
40	-32.00593819	-24.67016064	-17.58257477	-10.72597196	-4.0893773	1.460451942	2.334075372	8.547650548	9.387928507	14.55132103	17.10199934	20.34181997	24.5924219	25.91249213	31.25023364	31.85181487	36.34325296	38.66612275	38.86803269	41.15028502
40.2	-32.38620077	-25.06677127	-17.99595104	-11.15555521	-4.534159315	0.599216458	1.875520123	8.077079629	8.520549222	14.07079274	16.22818219	19.85369483	23.71206453	25.41942605	30.75473215	30.96577355	35.85108117	37.97468737	38.66590617	40.66732593
40.4	-32.76279141	-25.45975376	-18.40574331	-11.58157817	-4.975419768	-0.2437585228	1.420443786	7.609940173	7.671436769	13.59363158	15.37255754	19.36885013	22.84971485	24.92955231	30.0930181	30.26674957	35.36158141	37.09897895	38.66565197	40.1863213
40.6	-33.13588383	-25.84928168	-18.81212264	-12.00420552	-5.413325387	-1.069073821	0.9686821162	6.839986279	7.146071166	13.11968341	14.53451425	18.88713613	22.00477991	24.44270955	29.2423549	29.77673089	34.87462909	36.24029224	38.66533482	39.70720267
40.8	-33.50563933	-26.23551423	-19.21524404	-12.42358725	-5.84803172	-1.877300336	0.5200802889	6.025628383	6.685320195	12.64879979	13.7134789	18.40841119	21.17668614	23.95875072	28.40726647	29.29047451	34.39008579	35.39804336	38.66489976	39.22990322
