% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 14 2026, 19:29
% Table:              Tabla 5 - Valor propio 1
% B (T)                                           lambda                                            Energía propia (eV)                               Probabilidad total (1)
14.5                                              0.014743790719784461-1.085740376445118E-17i       0.014743790719784461-1.085740376445118E-17i       1
14.5                                              0.020797428276730923-3.532035270262259E-17i       0.020797428276730923-3.532035270262259E-17i       0.999999999999999
14.5                                              0.02665393382095535-2.5715057792631642E-17i       0.026653933820955353-2.5715057792631642E-17i      0.9999999999999989
14.5                                              0.0322983770095006+1.0302807707175988E-16i        0.0322983770095006+1.0302807707175988E-16i        0.9999999999999999
14.5                                              0.037712112618487593+3.108198572949309E-17i       0.037712112618487593+3.108198572949309E-17i       1.0000000000000004
14.5                                              0.03774151131420864-1.8050951769195275E-16i       0.03774151131420864-1.8050951769195275E-16i       1.0000000000000009
14.5                                              0.04027191888448182                               0.04027191888448182                               1.000000000000002
14.5                                              0.04287300098852845-9.401281640663865E-18i        0.04287300098852845-9.401281640663865E-18i        1.0000000000000022
14.5                                              0.04574778740262609+3.2095077437730084E-16i       0.04574778740262609+3.2095077437730084E-16i       1.0000000000000029
14.5                                              0.04773939564611447+4.787977588307126E-17i        0.04773939564611447+4.787977588307126E-17i        1.0000000000000002
14.5                                              0.05129516202803335                               0.05129516202803335                               1.0000000000000004
14.5                                              0.05231368477566544                               0.05231368477566545                               0.9999999999999992
14.5                                              0.0535040134190846+1.4353675613933704E-16i        0.0535040134190846+1.4353675613933704E-16i        1.000000000000001
14.5                                              0.05620089306867545+1.8056667241499868E-17i       0.05620089306867545+1.8056667241499868E-17i       1.0000000000000002
14.5                                              0.06034260963518465-1.8939193022484314E-17i       0.06034260963518466-1.8939193022484314E-17i       1.0000000000000013
14.5                                              0.0610052790402432-1.9875872002592624E-16i        0.0610052790402432-1.9875872002592624E-16i        0.9999999999999996
14.5                                              0.06247150568286627+3.448927966186622E-17i        0.062471505682866274+3.448927966186622E-17i       0.9999999999999987
14.5                                              0.0657035648416994+9.273033547139459E-18i         0.0657035648416994+9.273033547139459E-18i         1.0000000000000004
14.5                                              0.06714313461594436                               0.06714313461594436                               0.9999999999999986
14.5                                              0.06825458707632262+4.251005776406922E-16i        0.06825458707632262+4.251005776406922E-16i        0.9999999999999994
14.5                                              0.07164729667830658                               0.07164729667830659                               1.0000000000000004
14.5                                              0.07293896696913332                               0.07293896696913332                               1.000000000000001
14.5                                              0.07522788082398582+6.535694007054442E-17i        0.07522788082398583+6.535694007054442E-17i        1.0000000000000004
14.5                                              0.07533588641478536                               0.07533588641478536                               0.999999999999999
14.5                                              0.08192446267821249+2.0246365884344067E-16i       0.0819244626782125+2.024636588434407E-16i         0.9999999999999998
14.5                                              0.08374625077163798+1.0244396730379854E-17i       0.08374625077163798+1.0244396730379854E-17i       1.0000000000000033
14.5                                              0.08472412821116973                               0.08472412821116974                               1.0000000000000016
14.5                                              0.08832662224131434-5.766295807502817E-17i        0.08832662224131435-5.766295807502817E-17i        0.9999999999999991
14.5                                              0.0944032148551412+2.1823572217349758E-14i        0.0944032148551412+2.1823572217349758E-14i        0.9999999999999983
14.5                                              0.09486841857652333-2.389282709733727E-13i        0.09486841857652333-2.389282709733727E-13i        0.9999999999999987
14.5                                              0.09514535232788322+1.3426248069586399E-12i       0.09514535232788324+1.3426248069586399E-12i       1.0000000000000002
14.5                                              0.09802647399644096-2.42861376109507E-13i         0.09802647399644097-2.4286137610950706E-13i       0.9999999999999997
14.5                                              0.10015360777128367-7.154838533062003E-13i        0.10015360777128368-7.154838533062003E-13i        0.9999999999999992
14.5                                              0.10550135055561959-8.616092399108499E-11i        0.10550135055561959-8.616092399108499E-11i        1.0000000000000007
14.5                                              0.10653410253640046-7.037102770620431E-10i        0.10653410253640046-7.037102770620432E-10i        1.0000000000000004
14.600000000000001                                -0.018058746214488497+2.51204263495138E-16i       -0.018058746214488497+2.51204263495138E-16i       0.9999999999999988
14.600000000000001                                -0.011190297255318338-5.832113099216525E-17i      -0.011190297255318338-5.832113099216525E-17i      1.0000000000000004
14.600000000000001                                -0.0044681084109005065+1.9940796593752686E-17i    -0.004468108410900507+1.994079659375269E-17i      0.9999999999999978
14.600000000000001                                0.0020997914286021158+1.448890732772502E-17i      0.0020997914286021158+1.448890732772502E-17i      1.0000000000000007
14.600000000000001                                0.008504548904331+5.476321171324363E-17i          0.008504548904331+5.476321171324363E-17i          0.9999999999999996
14.600000000000001                                0.014736427116556927+8.713349505124725E-17i       0.014736427116556929+8.713349505124726E-17i       0.9999999999999996
14.600000000000001                                0.0207845200953114+1.7650103191391527E-17i        0.0207845200953114+1.7650103191391527E-17i        0.9999999999999986
14.600000000000001                                0.02663628288617742+4.7280698823660976E-17i       0.026636282886177424+4.7280698823660976E-17i      0.9999999999999998
14.600000000000001                                0.032276795050431586+9.437954023978911E-17i       0.032276795050431586+9.437954023978913E-17i       0.9999999999999986
14.600000000000001                                0.03768742111014177-4.116732506660915E-17i        0.03768742111014177-4.116732506660916E-17i        0.9999999999999997
14.600000000000001                                0.03782922313500829-3.3332659068576194E-17i       0.03782922313500829-3.3332659068576194E-17i       0.9999999999999998
14.600000000000001                                0.040288898020385225                              0.040288898020385225                              0.9999999999999952
14.600000000000001                                0.042846438854923945+7.893825686698222E-18i       0.042846438854923945+7.893825686698222E-18i       1.0000000000000016
14.600000000000001                                0.04583410190225393+2.4916957407693563E-17i       0.04583410190225393+2.4916957407693563E-17i       0.9999999999999998
14.600000000000001                                0.04771130104197722                               0.04771130104197722                               0.9999999999999987
14.600000000000001                                0.051317482371360544-1.1063556251203969E-17i      0.051317482371360544-1.1063556251203969E-17i      1.0000000000000013
14.600000000000001                                0.052283943810341106+1.9180229242923866E-17i      0.052283943810341106+1.9180229242923866E-17i      0.9999999999999991
14.600000000000001                                0.053588671678237866-4.748855984011225E-17i       0.05358867167823787-4.748855984011225E-17i        1.000000000000001
14.600000000000001                                0.05621102454651915+3.184207874707843E-17i        0.056211024546519155+3.184207874707843E-17i       0.9999999999999988
14.600000000000001                                0.060112054396488465                              0.06011205439648847                               1.000000000000001
14.600000000000001                                0.061088149332388035-6.990259086882554E-17i       0.061088149332388035-6.990259086882555E-17i       1.0000000000000002
14.600000000000001                                0.0628234761592829+2.3078480577575026E-17i        0.0628234761592829+2.307848057757503E-17i         0.9999999999999993
14.600000000000001                                0.06561390598712491                               0.06561390598712492                               1.0000000000000002
14.600000000000001                                0.06667119900163326-1.0559666579899848E-16i       0.06667119900163326-1.055966657989985E-16i        0.9999999999999997
14.600000000000001                                0.06833538916285453-1.4835369162109542E-16i       0.06833538916285453-1.4835369162109542E-16i       0.9999999999999972
14.600000000000001                                0.07222721778406592-3.42894878364122E-17i         0.07222721778406592-3.42894878364122E-17i         0.9999999999999998
14.600000000000001                                0.07308873231490803                               0.07308873231490803                               1.0000000000000029
14.600000000000001                                0.07475455851575952                               0.07475455851575952                               0.9999999999999999
14.600000000000001                                0.07530718584499517+2.857592092969037E-17i        0.07530718584499517+2.857592092969037E-17i        0.9999999999999999
14.600000000000001                                0.08200210278359882-8.2713319711616E-17i          0.08200210278359882-8.271331971161601E-17i        1.0000000000000002
14.600000000000001                                0.0840525323876242+3.127283531007125E-17i         0.0840525323876242+3.127283531007125E-17i         1
14.600000000000001                                0.08444450508128744                               0.08444450508128744                               0.9999999999999991
14.600000000000001                                0.08840256721397256-1.011411267536984E-16i        0.08840256721397256-1.011411267536984E-16i        1.0000000000000009
14.600000000000001                                0.09438898457301206+3.8257262622558856E-12i       0.09438898457301208+3.8257262622558856E-12i       0.9999999999999999
14.600000000000001                                0.09446014399294829-2.0806350240002996E-13i       0.09446014399294829-2.0806350240002996E-13i       0.9999999999999984
14.600000000000001                                0.09471325680605942+1.9032805252653204E-13i       0.09471325680605944+1.9032805252653204E-13i       1.0000000000000004
14.600000000000001                                0.09882986399123309-2.386467920980299E-13i        0.09882986399123309-2.386467920980299E-13i        0.9999999999999991
14.600000000000001                                0.10022843496294727-1.0391816931296157E-12i       0.10022843496294728-1.0391816931296157E-12i       0.999999999999999
14.600000000000001                                0.10556540539320725-4.413746283118681E-10i        0.10556540539320725-4.413746283118681E-10i        0.9999999999999997
14.600000000000001                                0.10569533470276535-1.0192735713395907E-11i       0.10569533470276535-1.0192735713395907E-11i       1.0000000000000016
14.700000000000001                                -0.018024368122580334+1.3175290235098934E-16i     -0.018024368122580334+1.3175290235098934E-16i     1.0000000000000007
14.700000000000001                                -0.011166452760742795-5.492247542078272E-17i      -0.011166452760742795-5.4922475420782726E-17i     0.999999999999999
14.700000000000001                                -0.004453551144658827+1.931261096687837E-17i      -0.004453551144658827+1.931261096687837E-17i      0.9999999999999999
14.700000000000001                                0.002106131253822849+4.74240234378144E-18i        0.002106131253822849+4.74240234378144E-18i        0.9999999999999988
14.700000000000001                                0.008503622124499469-6.79794008375005E-17i        0.008503622124499469-6.79794008375005E-17i        0.9999999999999987
14.700000000000001                                0.014729105613433352+7.25496094540902E-17i        0.014729105613433354+7.25496094540902E-17i        0.9999999999999994
14.700000000000001                                0.02077162782926019-9.76420042644478E-17i         0.02077162782926019-9.76420042644478E-17i         1.0000000000000004
14.700000000000001                                0.02661862321010565+8.21349819520213E-18i         0.026618623210105653+8.21349819520213E-18i        1.0000000000000004
14.700000000000001                                0.032255181318562615-5.0856361877363055E-17i      0.032255181318562615-5.085636187736306E-17i       1.0000000000000004
14.700000000000001                                0.03766268062205491-7.541440286129263E-17i        0.03766268062205491-7.541440286129265E-17i        1.0000000000000004
14.700000000000001                                0.03791750314891642-4.783186578263947E-17i        0.03791750314891642-4.783186578263947E-17i        1.0000000000000004
14.700000000000001                                0.04030589782712965                               0.04030589782712965                               1.0000000000000018
14.700000000000001                                0.042819732456049704+6.514092626792583E-17i       0.042819732456049704+6.514092626792583E-17i       0.9999999999999993
14.700000000000001                                0.0459209649181896+7.562919768102301E-17i         0.04592096491818961+7.562919768102301E-17i        0.9999999999999992
14.700000000000001                                0.04768375278710215+2.5775819086940237E-17i       0.04768375278710215+2.577581908694024E-17i        1.0000000000000009
14.700000000000001                                0.051340472407779544                              0.051340472407779544                              0.9999999999999972
14.700000000000001                                0.052250099188272364-2.77636041182709E-17i        0.05225009918827237-2.77636041182709E-17i         1.0000000000000002
14.700000000000001                                0.053673863120660525+2.9807546823126586E-16i      0.05367386312066053+2.9807546823126586E-16i       0.9999999999999991
14.700000000000001                                0.05623650942961993+2.6213079720741633E-17i       0.05623650942961993+2.6213079720741636E-17i       1.0000000000000004
14.700000000000001                                0.05988638641264896                               0.05988638641264896                               1
14.700000000000001                                0.061171535861868624-7.297709964003304E-17i       0.061171535861868624-7.297709964003304E-17i       0.9999999999999997
14.700000000000001                                0.06320905968650764-2.1191028755417566E-17i       0.06320905968650764-2.1191028755417566E-17i       0.9999999999999986
14.700000000000001                                0.06552483448086657                               0.06552483448086657                               0.9999999999999986
14.700000000000001                                0.06621039688987916+5.267853277262444E-17i        0.06621039688987916+5.267853277262444E-17i        1.0000000000000013
14.700000000000001                                0.0684167066535351-2.5844935099833735E-16i        0.0684167066535351-2.5844935099833735E-16i        1.0000000000000013
14.700000000000001                                0.07281127196205653-1.3503543281133463E-17i       0.07281127196205653-1.3503543281133463E-17i       0.999999999999999
14.700000000000001                                0.07324067745818977                               0.07324067745818978                               0.9999999999999987
14.700000000000001                                0.07418064485366194-1.0017761857045638E-16i       0.07418064485366194-1.0017761857045638E-16i       1.0000000000000007
14.700000000000001                                0.07538696923285665-1.3692287987067684E-16i       0.07538696923285666-1.3692287987067684E-16i       1.0000000000000004
14.700000000000001                                0.08208021562362544-6.111204871718883E-17i        0.08208021562362544-6.111204871718883E-17i        0.9999999999999992
14.700000000000001                                0.0833878036430466+1.741665245803216E-17i         0.08338780364304661+1.741665245803216E-17i        0.9999999999999996
14.700000000000001                                0.08514738527100355                               0.08514738527100355                               1.000000000000001
14.700000000000001                                0.0884789969832756+8.299348915112042E-17i         0.0884789969832756+8.299348915112042E-17i         1.0000000000000009
14.700000000000001                                0.09363930027053284+1.7660358693201457E-14i       0.09363930027053284+1.7660358693201457E-14i       0.9999999999999992
14.700000000000001                                0.0944459429539644-1.4452064126394672E-15i        0.0944459429539644-1.4452064126394674E-15i        1.0000000000000009
14.700000000000001                                0.09463020535132333+4.050097417876286E-14i        0.09463020535132333+4.050097417876286E-14i        1.0000000000000016
14.700000000000001                                0.09963737899955201-6.92163888531117E-13i         0.09963737899955202-6.921638885311171E-13i        1.0000000000000002
14.700000000000001                                0.1003038272946337-1.7058307735299004E-12i        0.1003038272946337-1.7058307735299004E-12i        0.9999999999999992
14.700000000000001                                0.10486318201565008+5.835852586686668E-11i        0.10486318201565009+5.835852586686668E-11i        1.0000000000000002
14.700000000000001                                0.10563033347341645+7.868007236649406E-11i        0.10563033347341647+7.868007236649408E-11i        0.9999999999999997
14.8                                              -0.017989781689501314+4.1856531849965743E-16i     -0.017989781689501314+4.1856531849965743E-16i     1.0000000000000004
14.8                                              -0.011142440676521495-1.7318009572207675E-16i     -0.011142440676521497-1.7318009572207677E-16i     0.9999999999999979
14.8                                              -0.004438861515410966-3.922951821069137E-17i      -0.004438861515410966-3.9229518210691377E-17i     0.9999999999999999
14.8                                              0.0021125716052391996+8.553104879042166E-18i      0.0021125716052391996+8.553104879042166E-18i      0.999999999999999
14.8                                              0.008502766411468132-3.067226694065935E-17i       0.008502766411468132-3.067226694065935E-17i       1.0000000000000004
14.8                                              0.014721827590242945+1.0722156337003533E-16i      0.014721827590242945+1.0722156337003534E-16i      0.9999999999999984
14.8                                              0.020758753084181847-1.7283201606327223E-16i      0.020758753084181847-1.7283201606327223E-16i      1.000000000000001
14.8                                              0.026600956596657635+6.867440243990856E-17i       0.026600956596657635+6.867440243990856E-17i       1.000000000000001
14.8                                              0.03223353752171951-7.172247209291466E-17i        0.03223353752171951-7.172247209291467E-17i        1.0000000000000016
14.8                                              0.037637895677882754-2.7653588475987908E-17i      0.037637895677882754-2.765358847598791E-17i       0.9999999999999992
14.8                                              0.03800634977263905+7.690653717010855E-17i        0.03800634977263905+7.690653717010855E-17i        0.9999999999999998
14.8                                              0.04032291905554929                               0.04032291905554929                               0.9999999999999977
14.8                                              0.04279287928958917-2.2783882754386356E-17i       0.04279287928958917-2.2783882754386356E-17i       1.0000000000000009
14.8                                              0.046008375367582864-9.45829308830543E-17i        0.046008375367582864-9.45829308830543E-17i        1.0000000000000024
14.8                                              0.04765668071088434+1.1903905064458673E-16i       0.04765668071088434+1.1903905064458673E-16i       0.9999999999999997
14.8                                              0.05136412846385972                               0.05136412846385972                               1.000000000000002
14.8                                              0.05221332529610594-7.654994940892738E-17i        0.05221332529610594-7.65499494089274E-17i         1
14.8                                              0.053759586235744734-2.6970832543379466E-17i      0.05375958623574474-2.6970832543379466E-17i       1.0000000000000002
14.8                                              0.05627165057961681+4.2620155705407766E-17i       0.05627165057961681+4.2620155705407766E-17i       1
14.8                                              0.0596814044904282-3.289785515472502E-17i         0.0596814044904282-3.289785515472502E-17i         1.0000000000000002
14.8                                              0.0612554368477418-1.4532678773257922E-16i        0.061255436847741804-1.4532678773257922E-16i      0.9999999999999999
14.8                                              0.0636145127466792+3.418997679174834E-17i         0.0636145127466792+3.418997679174834E-17i         1.0000000000000004
14.8                                              0.06543635186818816-1.0465277684105055E-17i       0.06543635186818816-1.0465277684105055E-17i       1.000000000000001
14.8                                              0.0657629973552894-1.5088682636567696E-16i        0.0657629973552894-1.5088682636567699E-16i        0.9999999999999994
14.8                                              0.06849853569681116-1.8296468108422856E-16i       0.06849853569681116-1.8296468108422856E-16i       1.0000000000000009
14.8                                              0.07334955404097643-6.604622455757798E-17i        0.07334955404097644-6.604622455757798E-17i        1.0000000000000007
14.8                                              0.0734443729414044+5.143005506095604E-17i         0.0734443729414044+5.143005506095604E-17i         1.0000000000000013
14.8                                              0.07361440507806385+6.674008514532038E-17i        0.07361440507806387+6.674008514532039E-17i        1
14.8                                              0.07546722969888572-1.8122742711842912E-16i       0.07546722969888572-1.8122742711842912E-16i       1.0000000000000004
14.8                                              0.08215879979641927-2.0438059990789904E-17i       0.08215879979641927-2.0438059990789904E-17i       0.9999999999999994
14.8                                              0.08272996228973159                               0.08272996228973159                               0.9999999999999979
14.8                                              0.08585484045858735-2.875675364637511E-17i        0.08585484045858735-2.875675364637512E-17i        1.0000000000000016
14.8                                              0.08855591083322961-1.033680870821712E-16i        0.08855591083322963-1.033680870821712E-16i        0.9999999999999999
14.8                                              0.09289630634444958-1.5775856424867312E-15i       0.09289630634444958-1.5775856424867312E-15i       1.0000000000000013
14.8                                              0.09431256978388823-7.949585367037639E-15i        0.09431256978388823-7.949585367037639E-15i        0.9999999999999993
14.8                                              0.09466732805084578+1.694118283184937E-14i        0.09466732805084578+1.694118283184937E-14i        0.999999999999999
14.8                                              0.1003767688590851+8.189627815479885E-12i         0.1003767688590851+8.189627815479885E-12i         1.000000000000001
14.8                                              0.10045186162229866+7.821324745028582E-12i        0.10045186162229867+7.821324745028582E-12i        0.9999999999999984
14.8                                              0.1040376499705135+4.148769538371868E-11i         0.10403764997051351+4.148769538371868E-11i        0.9999999999999997
14.8                                              0.1056970957597566+2.5125972421054738E-11i        0.10569709575975661+2.5125972421054738E-11i       0.9999999999999984
14.9                                              -0.017954987407001424+7.690507513364979E-16i      -0.017954987407001424+7.690507513364979E-16i      1.0000000000000007
14.9                                              -0.011118261001721155-3.472780721528132E-17i      -0.011118261001721155-3.472780721528132E-17i      0.9999999999999988
14.9                                              -0.004424039098474455+4.4986779429375004E-17i     -0.004424039098474455+4.498677942937501E-17i      0.9999999999999979
14.9                                              0.002119113272460449-1.4255301264433728E-17i      0.002119113272460449-1.4255301264433728E-17i      1.0000000000000016
14.9                                              0.00850198286991831-8.291483470505768E-17i        0.00850198286991831-8.291483470505768E-17i        1.000000000000001
14.9                                              0.014714594421787824-1.372198451467151E-17i       0.014714594421787826-1.372198451467151E-17i       0.9999999999999997
14.9                                              0.020745897460531584-1.1373064482475914E-17i      0.020745897460531588-1.1373064482475914E-17i      1
14.9                                              0.026583284845000263-5.220874198210912E-17i       0.026583284845000263-5.220874198210912E-17i       0.9999999999999996
14.9                                              0.0322118654058407+1.5022296526423538E-16i        0.0322118654058407+1.5022296526423538E-16i        0.9999999999999996
14.9                                              0.03761306921955362+8.163307339503889E-18i        0.037613069219553624+8.163307339503889E-18i       0.9999999999999989
14.9                                              0.038095762129872944+2.5895755459878306E-17i      0.038095762129872944+2.5895755459878306E-17i      1.0000000000000018
14.9                                              0.04033996256447092                               0.04033996256447092                               0.9999999999999939
14.9                                              0.04276588604479386-1.3123495164451796E-17i       0.04276588604479386-1.3123495164451796E-17i       0.999999999999999
14.9                                              0.04609633216092339-3.897929013551692E-17i        0.04609633216092339-3.897929013551692E-17i        0.9999999999999991
14.9                                              0.04762995097493585+3.0762244869555565E-17i       0.04762995097493586+3.0762244869555565E-17i       0.9999999999999998
14.9                                              0.051388447076714035-9.11459083608833E-18i        0.05138844707671404-9.11459083608833E-18i         0.9999999999999984
14.9                                              0.052175052272163035-8.291534616599408E-17i       0.052175052272163035-8.291534616599409E-17i       0.9999999999999984
14.9                                              0.05384583952340866+3.5677632535286446E-16i       0.05384583952340867+3.5677632535286446E-16i       1.000000000000002
14.9                                              0.056309192840998765-4.6543420531187016E-17i      0.05630919284099877-4.654342053118702E-17i        1
14.9                                              0.059508156523684755+6.822736954845231E-17i       0.059508156523684755+6.822736954845231E-17i       1.0000000000000007
14.9                                              0.0613398505869033+3.605571626256207E-16i         0.0613398505869033+3.605571626256207E-16i         0.9999999999999998
14.9                                              0.06402724095436764-3.7688640758532895E-17i       0.06402724095436764-3.7688640758532895E-17i       0.9999999999999981
14.9                                              0.06533381093318288-1.620255186967882E-16i        0.06533381093318288-1.620255186967882E-16i        0.9999999999999993
14.9                                              0.06535084808941655+3.0050902006351597E-17i       0.06535084808941655+3.0050902006351597E-17i       1.0000000000000018
14.9                                              0.0685808730024065                                0.06858087300240652                               1.0000000000000004
14.9                                              0.07305517059777657-6.445237810582974E-17i        0.07305517059777657-6.445237810582974E-17i        1
14.9                                              0.07353147788128488                               0.07353147788128488                               1.0000000000000002
14.9                                              0.07401101908968763                               0.07401101908968763                               0.9999999999999996
14.9                                              0.0755479669467335+3.044629521393049E-17i         0.0755479669467335+3.0446295213930494E-17i        0.9999999999999992
14.9                                              0.08207902999860817+1.4199538510852622E-16i       0.08207902999860818+1.4199538510852624E-16i       1.0000000000000009
14.9                                              0.08223785296956097-2.6451285572126954E-16i       0.08223785296956097-2.6451285572126954E-16i       0.999999999999999
14.9                                              0.08656682078162739-6.04322164456438E-17i         0.08656682078162739-6.04322164456438E-17i         0.9999999999999999
14.9                                              0.0886333090199509-2.4028494601878145E-16i        0.0886333090199509-2.4028494601878145E-16i        1
14.9                                              0.09216001125687469-6.094540909802671E-16i        0.09216001125687469-6.094540909802671E-16i        1.0000000000000004
14.9                                              0.09415097338017757-3.009779669691221E-15i        0.09415097338017758-3.009779669691221E-15i        0.9999999999999997
14.9                                              0.09473369352403475+1.1810402494977584E-14i       0.09473369352403477+1.1810402494977584E-14i       0.9999999999999994
14.9                                              0.10045474293964844+9.391155119873833E-13i        0.10045474293964844+9.391155119873833E-13i        1
14.9                                              0.10126567617779554-1.7470082137993148E-12i       0.10126567617779554-1.747008213799315E-12i        0.999999999999999
14.9                                              0.10321873980052286+2.575549110725748E-11i        0.10321873980052287+2.575549110725748E-11i        1.0000000000000013
14.9                                              0.10576647155367268+3.235962442849646E-11i        0.10576647155367269+3.2359624428496464E-11i       1.0000000000000004
15                                                -0.017919985768746913+8.032807082819103E-16i      -0.017919985768746916+8.032807082819103E-16i      0.999999999999998
15                                                -0.01109391373779385+5.6461843887815E-16i         -0.011093913737793852+5.6461843887815E-16i        0.9999999999999988
15                                                -0.004409083472552866-4.3005940438095347E-16i     -0.004409083472552866-4.3005940438095347E-16i     1.0000000000000009
15                                                0.002125757040794221+3.0250143030681276E-18i      0.0021257570407942216+3.0250143030681276E-18i     0.9999999999999983
15                                                0.008501272599603066-4.3484621933448405E-17i      0.008501272599603066-4.3484621933448405E-17i      0.9999999999999999
15                                                0.014707407477695097+1.254317791353408E-16i       0.0147074074776951+1.2543177913534083E-16i        1.0000000000000027
15                                                0.02073306255355338+5.346420084061361E-17i        0.02073306255355338+5.346420084061361E-17i        1.000000000000002
15                                                0.02656560974761689-8.842105091400507E-17i        0.02656560974761689-8.842105091400507E-17i        1.0000000000000009
15                                                0.03219016677099493+4.078305385292346E-17i        0.03219016677099493+4.0783053852923464E-17i       0.9999999999999982
15                                                0.03758820325768591-1.4718853447951268E-16i       0.037588203257685915-1.4718853447951268E-16i      1.0000000000000007
15                                                0.038185739373126394+8.896700985612284E-17i       0.038185739373126394+8.896700985612285E-17i       1.000000000000001
15                                                0.04035702931544266                               0.04035702931544266                               0.9999999999999961
15                                                0.04273876726584227+7.095424187640247E-17i        0.042738767265842276+7.095424187640247E-17i       0.9999999999999987
15                                                0.046184834201971184+5.20091239745369E-17i        0.04618483420197119+5.20091239745369E-17i         0.9999999999999992
15                                                0.04760338678413473+2.969910140835905E-16i        0.047603386784134734+2.969910140835905E-16i       1.0000000000000004
