B (T)	real(schr.Ei) (meV)
4.3	40.031904816153485
4.3	40.203092808525646
4.3	43.80144085915495
4.3	48.49717529367989
4.3	49.18376150541285
4.3	51.729298054029336
4.3	57.90370110833523
4.3	59.1493712808916
4.3	59.78962037954965
4.3	68.37192701501561
4.4	17.57604544624694
4.4	17.70321543103986
4.4	19.002548888728942
4.4	19.341429651120247
4.4	22.009242258122796
4.4	22.43429971806232
4.4	26.605199660498958
4.4	26.91518194275258
4.4	32.71167073741934
4.4	32.78134700788485
4.4	39.75064441416091
4.4	40.511167779257086
4.4	43.82070845677453
4.4	47.96312017744612
4.4	49.752032790630565
4.4	51.66343455952792
4.4	57.28807948281256
4.4	59.2560537726766
4.4	60.447553642002504
4.4	67.67461935172145
4.5	17.62634656935856
4.5	17.669069146289807
4.5	19.13806271575055
4.5	19.223565029440724
4.5	22.230753348450925
4.5	22.233386163800315
4.5	26.63180132671504
4.5	26.91350100474397
4.5	32.346289194980386
4.5	33.1772231663308
4.5	39.30359035962557
4.5	40.99538404759694
4.5	43.84041737470834
4.5	47.43457514206201
4.5	50.32531824015572
4.5	51.598038744458506
4.5	56.678085261769134
4.5	59.363202937466504
4.5	61.11057767619878
4.5	66.98313577249728
4.6000000000000005	17.63986897852697
4.6000000000000005	17.68154976375326
4.6000000000000005	19.110707418410296
4.6000000000000005	19.27845197967305
4.6000000000000005	22.0375563078132
4.6000000000000005	22.45713092411004
4.6000000000000005	26.35359519005066
4.6000000000000005	27.22667778585608
4.6000000000000005	31.986184575439154
4.6000000000000005	33.578001396033976
4.6000000000000005	38.86192424731589
4.6000000000000005	41.48454643289529
4.6000000000000005	43.86056750637304
4.6000000000000005	46.91153416674243
4.6000000000000005	50.90361070033776
4.6000000000000005	51.533110499494754
4.6000000000000005	56.07371285185905
4.6000000000000005	59.47081863785943
4.6000000000000005	61.77868540906207
4.6000000000000005	66.29736057794663
4.7	17.615607583405094
4.7	17.74164767780181
4.7	19.002849507170307
4.7	19.423709330354196
4.7	21.84680291951485
4.7	22.68836763353356
4.7	26.080556448649325
4.7	27.544722653696116
4.7	31.63135002156504
4.7	33.983674345389105
4.7	38.425639530314
4.7	41.97864759077073
4.7	43.88115874318712
4.7	46.39399108844734
4.7	51.46864971363215
4.7	51.48690286031198
4.7	55.474956526514255
4.7	59.578900733387236
4.7	62.45186960987218
4.7	65.61731335569522
4.800000000000001	17.596277460906972
4.800000000000001	17.80663280558001
4.800000000000001	18.899983827985896
4.800000000000001	19.573827264179442
4.800000000000001	21.661118610693585
4.800000000000001	22.924455971879336
4.800000000000001	25.8126778615603
4.800000000000001	27.86762810464489
4.800000000000001	31.281778521784222
4.800000000000001	34.394234508455035
4.800000000000001	37.99472951207797
4.800000000000001	42.47768002121295
4.800000000000001	43.902190974604686
4.800000000000001	45.881939601456466
4.800000000000001	51.404656278335885
4.800000000000001	52.07518724596678
4.800000000000001	54.88181043503732
4.800000000000001	59.68744941022202
4.800000000000001	63.13011876185256
4.800000000000001	64.94298634344639
4.9	17.58187095590015
4.9	17.876497487395945
4.9	18.802102756620446
4.9	19.7287981246909
4.9	21.480495835889787
4.9	23.16538828148856
4.9	25.549952031020197
4.9	28.19538648224205
4.9	30.937462910034725
4.9	34.80967422554086
4.9	37.56918734613883
4.9	42.98163606907516
4.9	43.92366408815661
4.9	45.37537325695919
4.9	51.34113006684474
4.9	52.66845625219706
4.9	54.294268553288894
4.9	59.79646353723167
4.9	63.81343780225862
4.9	64.27439383932759
5	17.572380258632112
5	17.951233910419262
5	18.709198512715503
5	19.88861410324871
5	21.30492689258204
5	23.411156752570133
5	25.292371402492435
5	28.52798997784514
5	30.598395865620308
5	35.22998568381567
5	37.1490060357947
5	43.49050792458746
5	43.945577969481974
5	44.87428546260523
5	51.27807097559259
5	53.26670207950959
5	53.712324780873
5	59.90594395400759
5	63.611511025283114
5	64.50180628251339
5.1000000000000005	17.56779740527854
5.1000000000000005	18.03083410932224
5.1000000000000005	18.621263160204887
5.1000000000000005	20.053267239724764
