% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 11 2026, 14:53
% Table:              Tabla 4 - Valor propio
% R_1 (nm)                                        lambda                                            Energía propia (meV)                              Probabilidad total (1)
7.4                                               0.06843525383467439                               68.43525383467438                                 1
7.4                                               0.06849232628295736                               68.49232628295735                                 0.9999999999999993
7.4                                               0.06939720164031211                               69.3972016403121                                  1.0000000000000004
7.4                                               0.07622841219103481                               76.2284121910348                                  0.9999999999999983
7.4                                               0.07934540612847721                               79.3454061284772                                  1.0000000000000007
7.6                                               -0.02063255078871594                              -20.63255078871594                                1.0000000000000002
7.6                                               -0.012904294767172947                             -12.904294767172944                               0.9999999999999982
7.6                                               -0.005420054860429929                             -5.4200548604299295                               0.9999999999999982
7.6                                               0.0018198961775266337                             1.8198961775266336                                1.0000000000000016
7.6                                               0.008813403394975952                              8.81340339497595                                  1.000000000000001
7.6                                               0.015556036480051702                              15.5560364800517                                  0.9999999999999988
7.6                                               0.022040574066154145                              22.040574066154143                                1.000000000000001
7.6                                               0.028256197993853177                              28.256197993853174                                0.9999999999999998
7.6                                               0.03132209057868339                               31.322090578683387                                0.9999999999999994
7.6                                               0.034186912021061666                              34.186912021061666                                1.0000000000000016
7.6                                               0.039412233306187726                              39.41223330618772                                 1.000000000000002
7.6                                               0.039811258503268415                              39.81125850326841                                 1.0000000000000002
7.6                                               0.04507812125677279                               45.07812125677278                                 0.9999999999999979
7.6                                               0.04727717467330344                               47.277174673303435                                0.9999999999999986
7.6                                               0.05002767213919622                               50.02767213919621                                 0.9999999999999989
7.6                                               0.05401058171738087                               54.010581717380866                                1.0000000000000002
7.6                                               0.054905263500547384                              54.90526350054738                                 1.0000000000000018
7.6                                               0.059059381369990574                              59.05938136999057                                 0.9999999999999981
7.6                                               0.06018306649251009                               60.183066492510086                                1.0000000000000018
7.6                                               0.06228356174917706                               62.28356174917706                                 1.0000000000000038
7.6                                               0.06843525277664983                               68.43525277664983                                 1.0000000000000007
7.6                                               0.06849232517270706                               68.49232517270706                                 1.000000000000001
7.6                                               0.06939719729107394                               69.39719729107394                                 1.0000000000000016
7.6                                               0.07622840701287074                               76.22840701287073                                 0.9999999999999994
7.6                                               0.07934546979339176                               79.34546979339176                                 0.9999999999999986
7.8                                               -0.020632550720845508                             -20.632550720845504                               0.9999999999999983
7.8                                               -0.012904294601321559                             -12.904294601321558                               0.9999999999999987
7.8                                               -0.0054200539768861355                            -5.420053976886136                                1.0000000000000004
7.8                                               0.0018198970796101666                             1.8198970796101663                                1.000000000000001
7.8                                               0.008813404093304028                              8.813404093304028                                 1.0000000000000002
7.8                                               0.015556037196849476                              15.556037196849474                                0.999999999999998
7.8                                               0.022040575110707533                              22.040575110707533                                0.9999999999999987
7.8                                               0.028256199490454825                              28.256199490454822                                0.9999999999999991
7.8                                               0.0313220899838635                                31.3220899838635                                  1.0000000000000027
7.8                                               0.034186913690152185                              34.18691369015218                                 1.0000000000000027
7.8                                               0.03941223336526249                               39.41223336526249                                 0.9999999999999984
7.8                                               0.039811260231824075                              39.81126023182407                                 1
7.8                                               0.04507812294870526                               45.07812294870526                                 0.9999999999999986
7.8                                               0.04727717708570646                               47.277177085706455                                0.999999999999999
7.8                                               0.05002767372132231                               50.0276737213223                                  1.000000000000001
7.8                                               0.05401058265571605                               54.01058265571604                                 0.9999999999999998
7.8                                               0.05490526564757055                               54.905265647570545                                0.9999999999999973
7.8                                               0.05905938227198947                               59.05938227198946                                 0.9999999999999986
7.8                                               0.060183067056420736                              60.183067056420725                                0.9999999999999997
7.8                                               0.06228356316913738                               62.283563169137366                                1.0000000000000007
7.8                                               0.0684352535509544                                68.43525355095439                                 0.9999999999999992
7.8                                               0.06849232620200416                               68.49232620200415                                 1.0000000000000002
7.8                                               0.06939719908024175                               69.39719908024175                                 1.0000000000000002
7.8                                               0.07622840959642588                               76.22840959642586                                 1.0000000000000007
