% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 16 2026, 22:23
% Table:              Tabla 6 - Valor propio 2
% n                                               lambda                                            Energía propia (meV)                              Probabilidad total (1)
1.6                                               0.017164031458513987                              17.164031458513985                                0.999999999999999
1.6                                               0.01795003194878017                               17.95003194878017                                 1
1.6                                               0.01795004053268187                               17.95004053268187                                 0.9999999999999989
1.6                                               0.02029919224517264                               20.299192245172637                                1.0000000000000002
1.6                                               0.020299193939043475                              20.299193939043473                                0.9999999999999998
1.6                                               0.02418544490717142                               24.18544490717142                                 0.9999999999999993
1.6                                               0.02418544516695237                               24.185445166952363                                1.0000000000000007
1.6                                               0.029567002587845018                              29.567002587845018                                1.0000000000000002
1.6                                               0.029567003145405446                              29.56700314540544                                 0.9999999999999997
1.6                                               0.03638884092898964                               36.38884092898964                                 0.9999999999999997
1.6                                               0.03638884106647129                               36.38884106647129                                 0.9999999999999982
1.6                                               0.04458627929046941                               44.586279290469406                                0.9999999999999999
1.6                                               0.044586280199810445                              44.58628019981044                                 1.0000000000000016
1.6                                               0.05408946692486994                               54.08946692486993                                 1
1.6                                               0.054089467456512524                              54.08946745651252                                 0.9999999999999997
1.6                                               0.05978933739755268                               59.78933739755268                                 0.9999999999999997
1.6                                               0.06424847846473829                               64.24847846473828                                 1.0000000000000004
1.6                                               0.06482827463138213                               64.82827463138213                                 0.999999999999999
1.6                                               0.06482827520673454                               64.82827520673453                                 0.9999999999999984
1.6                                               0.06837608554734367                               68.37608554734366                                 1.0000000000000004
1.6                                               0.06919090071832618                               69.19090071832618                                 0.9999999999999996
1.6                                               0.06921114280037992                               69.2111428003799                                  1
1.6                                               0.07169153206406713                               71.69153206406712                                 1.0000000000000007
1.6                                               0.07169211580679888                               71.69211580679887                                 1.0000000000000004
1.6                                               0.07520116128842909                               75.20116128842909                                 0.9999999999999989
1.6                                               0.07585091841697701                               75.850918416977                                   0.9999999999999983
1.6                                               0.0758513236792506                                75.8513236792506                                  1.0000000000000016
1.6                                               0.07673686954500655                               76.73686954500654                                 1.000000000000001
1.6                                               0.07673687009377737                               76.73687009377737                                 1.0000000000000002
1.6                                               0.08167624830154274                               81.67624830154274                                 0.9999999999999991
1.7000000000000002                                0.01716403273814525                               17.16403273814525                                 0.9999999999999993
1.7000000000000002                                0.017950032600142343                              17.950032600142343                                0.9999999999999997
1.7000000000000002                                0.017950041377232814                              17.95004137723281                                 0.9999999999999991
1.7000000000000002                                0.020299192509340064                              20.29919250934006                                 0.9999999999999998
1.7000000000000002                                0.0202991940902688                                20.2991940902688                                  1.0000000000000009
1.7000000000000002                                0.024185444951845797                              24.185444951845795                                0.9999999999999994
1.7000000000000002                                0.024185445206798994                              24.185445206798992                                1.0000000000000002
1.7000000000000002                                0.029567002596028763                              29.56700259602876                                 0.999999999999999
1.7000000000000002                                0.029567003152565496                              29.56700315256549                                 1.0000000000000004
1.7000000000000002                                0.036388840930085584                              36.38884093008558                                 1.0000000000000009
1.7000000000000002                                0.03638884106788921                               36.38884106788921                                 1.0000000000000002
1.7000000000000002                                0.04458627929065924                               44.58627929065923                                 0.9999999999999992
1.7000000000000002                                0.044586280200009126                              44.58628020000912                                 1.0000000000000007
1.7000000000000002                                0.054089466924896                                 54.089466924895994                                1.0000000000000007
1.7000000000000002                                0.054089467456541855                              54.089467456541854                                1.0000000000000004
1.7000000000000002                                0.06079908083429624                               60.799080834296234                                1
1.7000000000000002                                0.06482827463138569                               64.82827463138568                                 1
1.7000000000000002                                0.06482827520673677                               64.82827520673676                                 1.0000000000000007
1.7000000000000002                                0.06501616563968649                               65.01616563968648                                 0.9999999999999987
1.7000000000000002                                0.068376988802406                                 68.37698880240599                                 1.0000000000000004
1.7000000000000002                                0.06919252501581555                               69.19252501581553                                 1.0000000000000007
1.7000000000000002                                0.06921320833107492                               69.21320833107491                                 1.0000000000000002
1.7000000000000002                                0.0716916147384487                                71.6916147384487                                  1.0000000000000013
1.7000000000000002                                0.0716921948367764                                71.6921948367764                                  1.0000000000000007
1.7000000000000002                                0.07585051419203534                               75.85051419203533                                 1.0000000000000016
1.7000000000000002                                0.0758509245114277                                75.85092451142769                                 1.0000000000000016
1.7000000000000002                                0.0764882871377965                                76.48828713779649                                 1.0000000000000004
1.7000000000000002                                0.07673686954500639                               76.73686954500637                                 1.000000000000001
1.7000000000000002                                0.07673687009378016                               76.73687009378015                                 1.0000000000000004
1.7000000000000002                                0.0816762487072392                                81.6762487072392                                  1
