% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 17 2026, 02:13
% Table:              Tabla 7 - Valor propio 3
% B (T)                                           n                                                 lambda                                            Energía propia (meV)                              Probabilidad total (1)
5.4                                               1.5                                               0.02017921407695701                               20.17921407695701                                 0.9999999999999991
5.4                                               1.5                                               0.020195058767439156                              20.195058767439154                                1.0000000000000002
5.4                                               1.5                                               0.020862887509350198                              20.862887509350195                                0.9999999999999946
5.4                                               1.5                                               0.025202286986183917                              25.202286986183914                                1.000000000000002
5.4                                               1.5                                               0.02562983146414953                               25.62983146414953                                 0.9999999999999992
5.4                                               1.5                                               0.031468432374399724                              31.468432374399722                                0.9999999999999999
5.4                                               1.5                                               0.03268588399913963                               32.68588399913963                                 1.0000000000000022
5.4                                               1.5                                               0.03891500868508861                               38.91500868508861                                 0.9999999999999987
5.4                                               1.5                                               0.0413170307707963                                41.31703077079629                                 0.9999999999999996
5.4                                               1.5                                               0.047475750761165794                              47.47575076116579                                 0.9999999999999996
5.4                                               1.5                                               0.05147712979115096                               51.47712979115095                                 1
5.4                                               1.5                                               0.0537927391299478                                53.79273912994779                                 1.0000000000000004
5.4                                               1.5                                               0.05709636428509203+2.3550678840262996E-17i       57.09636428509202+2.3550678840262993E-14i         0.9999999999999996
5.4                                               1.5                                               0.06310725464026973+7.530433040259411E-11i        63.107254640269716+7.53043304025941E-8i           1.0000000000000022
5.4                                               1.5                                               0.06380015991201443+8.439973524816834E-10i        63.80015991201442+8.439973524816832E-7i           0.9999999999999993
5.4                                               2                                                 0.012288877836009918                              12.288877836009917                                1.0000000000000007
5.4                                               2                                                 0.01403745662031837                               14.03745662031837                                 1.0000000000000009
5.4                                               2                                                 0.01459528620547712                               14.59528620547712                                 0.9999999999999989
5.4                                               2                                                 0.016381441303043365                              16.381441303043363                                0.999999999999999
5.4                                               2                                                 0.016547260331378558                              16.547260331378556                                1.0000000000000007
5.4                                               2                                                 0.020181652721702928                              20.181652721702925                                1
5.4                                               2                                                 0.02019505880371146                               20.195058803711458                                0.9999999999999973
5.4                                               2                                                 0.023092942241754316                              23.09294224175431                                 0.9999999999999958
5.4                                               2                                                 0.025202287060864456                              25.202287060864453                                0.9999999999999994
5.4                                               2                                                 0.025630040045272195                              25.630040045272192                                0.9999999999999991
5.4                                               2                                                 0.031468432345199596                              31.46843234519959                                 0.9999999999999984
5.4                                               2                                                 0.03268589690888031                               32.68589690888031                                 1.0000000000000002
5.4                                               2                                                 0.03891500865827585                               38.915008658275845                                0.9999999999999994
5.4                                               2                                                 0.041317032712623984                              41.31703271262398                                 0.9999999999999999
5.4                                               2                                                 0.04747575073975073                               47.47575073975072                                 1.0000000000000018
5.4                                               2                                                 0.05147713019595251                               51.4771301959525                                  0.9999999999999986
5.4                                               2                                                 0.05709636426886519-1.3486270545436656E-14i       57.09636426886518-1.3486270545436655E-11i         0.9999999999999997
5.4                                               2                                                 0.058216323024070135-2.143492322487673E-14i       58.21632302407013-2.143492322487673E-11i          0.9999999999999964
5.4                                               2                                                 0.06310726629042421-4.654272883676676E-9i         63.10726629042421-4.654272883676676E-6i           1.0000000000000009
5.4                                               2                                                 0.06385191391542822+3.1237977614725195E-9i        63.851913915428206+3.1237977614725193E-6i         0.9999999999999992
5.4                                               2.5                                               0.01228888743099861                               12.288887430998608                                1.0000000000000009
5.4                                               2.5                                               0.014037466283474048                              14.037466283474048                                0.9999999999999984
5.4                                               2.5                                               0.01459529045709139                               14.595290457091389                                0.9999999999999998
5.4                                               2.5                                               0.016381490638096227                              16.381490638096228                                0.9999999999999992
5.4                                               2.5                                               0.016547260385440674                              16.547260385440673                                0.9999999999999994
5.4                                               2.5                                               0.020181882918720834                              20.18188291872083                                 1.0000000000000013
5.4                                               2.5                                               0.02019505881759777                               20.195058817597765                                1.000000000000002
5.4                                               2.5                                               0.02434831975848499                               24.348319758484987                                1.0000000000000036
5.4                                               2.5                                               0.02520228738783635                               25.20228738783635                                 0.9999999999999999
5.4                                               2.5                                               0.025630458416757873                              25.630458416757868                                1.0000000000000002
5.4                                               2.5                                               0.03146843234886622                               31.468432348866212                                1.0000000000000004
5.4                                               2.5                                               0.03268590720336245                               32.68590720336245                                 0.9999999999999991
5.4                                               2.5                                               0.03891500865861626                               38.91500865861625                                 1.0000000000000004
5.4                                               2.5                                               0.04131703420162049                               41.31703420162048                                 1.0000000000000009
5.4                                               2.5                                               0.04747575073980244                               47.475750739802436                                0.9999999999999998
5.4                                               2.5                                               0.05147713046552733                               51.47713046552732                                 0.9999999999999976
5.4                                               2.5                                               0.05709636426887905-1.957036979341905E-15i        57.09636426887904-1.9570369793419047E-12i         1.0000000000000004
5.4                                               2.5                                               0.06087182459189297+5.001428347734882E-13i        60.87182459189296+5.001428347734882E-10i          1.0000000000000007
5.4                                               2.5                                               0.06310725633945238+8.820141480388048E-10i        63.10725633945238+8.820141480388047E-7i           0.9999999999999988
5.4                                               2.5                                               0.06385285395574558+8.200901894666106E-9i         63.85285395574557+8.200901894666105E-6i           1.000000000000002
5.4                                               3                                                 0.012288892333745763                              12.28889233374576                                 1.0000000000000018
5.4                                               3                                                 0.014037471424583878                              14.037471424583876                                1.0000000000000018
5.4                                               3                                                 0.01459529268302985                               14.595292683029848                                1
5.4                                               3                                                 0.016381514653199897                              16.381514653199897                                0.9999999999999996
5.4                                               3                                                 0.01654726041702559                               16.547260417025587                                1.0000000000000009
5.4                                               3                                                 0.020181967023132574                              20.18196702313257                                 0.9999999999999992
5.4                                               3                                                 0.0201950588242652                                20.1950588242652                                  1.000000000000001
5.4                                               3                                                 0.025100317075331252                              25.100317075331247                                1.0000000000000027
5.4                                               3                                                 0.02520229141155711                               25.20229141155711                                 1.0000000000000002
5.4                                               3                                                 0.025631644719191923                              25.631644719191918                                1.0000000000000009
5.4                                               3                                                 0.03146843235176665                               31.468432351766648                                1.0000000000000016
5.4                                               3                                                 0.03268591513181113                               32.68591513181112                                 0.9999999999999988
5.4                                               3                                                 0.03891500865885588                               38.915008658855875                                0.9999999999999996
5.4                                               3                                                 0.041317035304595136                              41.31703530459513                                 0.9999999999999998
5.4                                               3                                                 0.047475750739835364                              47.475750739835355                                0.9999999999999997
5.4                                               3                                                 0.05147713065355168                               51.477130653551676                                0.9999999999999998
5.4                                               3                                                 0.05709636426889094+4.382859275434809E-15i        57.09636426889093+4.382859275434808E-12i          0.9999999999999991
5.4                                               3                                                 0.06255363974231501+1.214504503117671E-9i         62.553639742315+1.2145045031176708E-6i            0.9999999999999998
5.4                                               3                                                 0.06310726335459313+7.028758657369456E-10i        63.10726335459312+7.028758657369454E-7i           1.0000000000000004
5.4                                               3                                                 0.06385333166063681+3.257256449933524E-8i         63.853331660636805+3.2572564499335235E-5i         0.9999999999999999
5.6000000000000005                                1                                                 0.01231910887320492                               12.31910887320492                                 1
5.6000000000000005                                1                                                 0.014063362339807067                              14.063362339807066                                0.9999999999999997
5.6000000000000005                                1                                                 0.01463511329997949                               14.635113299979489                                0.9999999999999991
5.6000000000000005                                1                                                 0.01626042210451871                               16.260422104518707                                1.0000000000000004
5.6000000000000005                                1                                                 0.016626895896033583                              16.62689589603358                                 0.9999999999999962
5.6000000000000005                                1                                                 0.016757648615553927-3.6178496377712636E-18i      16.757648615553926-3.617849637771263E-15i         1.000000000000001
5.6000000000000005                                1                                                 0.019737135905119135                              19.737135905119132                                0.9999999999999997
5.6000000000000005                                1                                                 0.02072127771865473                               20.721277718654726                                0.9999999999999986
5.6000000000000005                                1                                                 0.02458068867300678                               24.580688673006776                                0.9999999999999986
5.6000000000000005                                1                                                 0.02634370282772798                               26.343702827727977                                1
5.6000000000000005                                1                                                 0.030685294707236896                              30.685294707236892                                1.0000000000000002
5.6000000000000005                                1                                                 0.03357627242565013                               33.576272425650124                                1.000000000000002
5.6000000000000005                                1                                                 0.037971231157574295                              37.971231157574294                                1.0000000000000004
5.6000000000000005                                1                                                 0.04238536366070552                               42.385363660705515                                1
5.6000000000000005                                1                                                 0.04599714313149675                               45.99714313149675                                 0.9999999999999979
5.6000000000000005                                1                                                 0.04637162634982711                               46.37162634982711                                 1.0000000000000002
5.6000000000000005                                1                                                 0.05272508177575552+2.0491354025469677E-16i       52.72508177575552+2.0491354025469676E-13i         1.0000000000000004
5.6000000000000005                                1                                                 0.05557086305939272+3.672599183940423E-12i        55.570863059392714+3.6725991839404225E-9i         0.9999999999999998
5.6000000000000005                                1                                                 0.05583178702642465+4.2183565489869545E-14i       55.831787026424635+4.218356548986954E-11i         1.0000000000000002
5.6000000000000005                                1                                                 0.06391259695451243-1.0048522597759113E-8i        63.91259695451243-1.0048522597759112E-5i          0.9999999999999996
5.6000000000000005                                1.5                                               0.012319205125950111                              12.31920512595011                                 1.000000000000002
5.6000000000000005                                1.5                                               0.014063474199019224                              14.063474199019224                                1.0000000000000004
5.6000000000000005                                1.5                                               0.01463525540471182                               14.635255404711819                                1.0000000000000002
5.6000000000000005                                1.5                                               0.01626042754285592                               16.26042754285592                                 0.9999999999999994
5.6000000000000005                                1.5                                               0.016740042283846193                              16.740042283846194                                0.9999999999999991
5.6000000000000005                                1.5                                               0.01973713458094438                               19.737134580944375                                1
5.6000000000000005                                1.5                                               0.02070700331731805                               20.707003317318044                                1
5.6000000000000005                                1.5                                               0.020881770640013758                              20.881770640013755                                0.9999999999999993
5.6000000000000005                                1.5                                               0.02458068879547287                               24.58068879547287                                 0.9999999999999984
5.6000000000000005                                1.5                                               0.02634381900838184                               26.34381900838184                                 0.9999999999999991
5.6000000000000005                                1.5                                               0.030685294760953066                              30.685294760953067                                1.0000000000000002
5.6000000000000005                                1.5                                               0.033576287394379845                              33.57628739437984                                 1.0000000000000004
5.6000000000000005                                1.5                                               0.03797123120011175                               37.971231200111745                                0.9999999999999998
5.6000000000000005                                1.5                                               0.042385366341716975                              42.38536634171697                                 1
5.6000000000000005                                1.5                                               0.04637162638475033                               46.37162638475032                                 1.0000000000000002
5.6000000000000005                                1.5                                               0.05272508304512947                               52.725083045129466                                1
5.6000000000000005                                1.5                                               0.05378243342758729                               53.782433427587286                                1
5.6000000000000005                                1.5                                               0.055831787056010065                              55.831787056010064                                0.9999999999999993
5.6000000000000005                                1.5                                               0.0638872533292941-4.1880752685341036E-10i        63.88725332929409-4.1880752685341037E-7i          1.0000000000000016
5.6000000000000005                                1.5                                               0.06409149237669216+1.517591956864354E-9i         64.09149237669216+1.5175919568643538E-6i          1.0000000000000013
5.6000000000000005                                2                                                 0.012319226708956882                              12.31922670895688                                 1
5.6000000000000005                                2                                                 0.014063492999161403                              14.0634929991614                                  0.9999999999999981
5.6000000000000005                                2                                                 0.01463527486932062                               14.635274869320618                                0.999999999999998
5.6000000000000005                                2                                                 0.01626042763970882                               16.26042763970882                                 1.0000000000000009
5.6000000000000005                                2                                                 0.01674021755036295                               16.74021755036295                                 1.0000000000000004
5.6000000000000005                                2                                                 0.01973713521444842                               19.73713521444842                                 1.0000000000000002
5.6000000000000005                                2                                                 0.020719833715583835                              20.71983371558383                                 0.9999999999999976
5.6000000000000005                                2                                                 0.0231009733991257                                23.1009733991257                                  1.0000000000000007
5.6000000000000005                                2                                                 0.024580688937739695                              24.580688937739694                                0.9999999999999997
5.6000000000000005                                2                                                 0.026343971030989705                              26.343971030989703                                1.0000000000000002
5.6000000000000005                                2                                                 0.030685294731733218                              30.685294731733215                                1.0000000000000009
5.6000000000000005                                2                                                 0.03357629952896292                               33.57629952896291                                 0.9999999999999998
5.6000000000000005                                2                                                 0.03797123117282132                               37.97123117282132                                 0.9999999999999984
5.6000000000000005                                2                                                 0.0423853682752309                                42.385368275230896                                0.9999999999999998
5.6000000000000005                                2                                                 0.04637162636294142                               46.37162636294141                                 1.0000000000000002
5.6000000000000005                                2                                                 0.05272508352036594                               52.725083520365935                                1.0000000000000004
5.6000000000000005                                2                                                 0.05583178703947363                               55.831787039473625                                1.0000000000000004
5.6000000000000005                                2                                                 0.058213519330297545                              58.21351933029754                                 1.0000000000000027
5.6000000000000005                                2                                                 0.06392095164925618-1.4847426875683662E-11i       63.920951649256175-1.4847426875683662E-8i         0.9999999999999978
5.6000000000000005                                2                                                 0.0645364618830718+2.0918811752331602E-10i        64.5364618830718+2.09188117523316E-7i             0.9999999999999999
5.6000000000000005                                2.5                                               0.012319235397157763                              12.319235397157762                                1.0000000000000007
5.6000000000000005                                2.5                                               0.014063500668665158                              14.063500668665156                                1.0000000000000002
5.6000000000000005                                2.5                                               0.014635282574659805                              14.635282574659803                                0.9999999999999983
5.6000000000000005                                2.5                                               0.016260427707292746                              16.260427707292745                                1.0000000000000004
5.6000000000000005                                2.5                                               0.01674027405768362                               16.74027405768362                                 1.0000000000000002
5.6000000000000005                                2.5                                               0.019737135312703824                              19.73713531270382                                 0.9999999999999988
5.6000000000000005                                2.5                                               0.020720162172914808                              20.720162172914804                                0.9999999999999986
5.6000000000000005                                2.5                                               0.02435618779495541                               24.356187794955407                                0.9999999999999998
5.6000000000000005                                2.5                                               0.024580690638149938                              24.580690638149935                                0.9999999999999984
5.6000000000000005                                2.5                                               0.02634419426474907                               26.344194264749067                                1.000000000000001
5.6000000000000005                                2.5                                               0.03068529473613854                               30.685294736138538                                1.0000000000000013
5.6000000000000005                                2.5                                               0.03357630896047255                               33.576308960472545                                1.0000000000000004
5.6000000000000005                                2.5                                               0.037971231173195                                 37.971231173194994                                0.9999999999999986
5.6000000000000005                                2.5                                               0.04238536974437458                               42.38536974437457                                 1.0000000000000004
5.6000000000000005                                2.5                                               0.046371626362996216                              46.37162636299621                                 0.999999999999999
5.6000000000000005                                2.5                                               0.05272508379630278-7.879476978940259E-18i        52.725083796302776-7.879476978940258E-15i         0.9999999999999993
5.6000000000000005                                2.5                                               0.05583178703949281+2.0902211001642596E-16i       55.83178703949281+2.0902211001642594E-13i         0.9999999999999997
5.6000000000000005                                2.5                                               0.06087297970353038+2.160141446150504E-13i        60.87297970353037+2.1601414461505038E-10i         0.9999999999999964
5.6000000000000005                                2.5                                               0.06392181243681103-8.241709292316412E-9i         63.92181243681102-8.24170929231641E-6i            0.9999999999999998
5.6000000000000005                                2.5                                               0.0645364295221903-1.4214005447499898E-8i         64.53642952219029-1.4214005447499895E-5i          0.9999999999999989
5.6000000000000005                                3                                                 0.01231923982004629                               12.319239820046288                                1.0000000000000013
5.6000000000000005                                3                                                 0.014063504745586417                              14.063504745586416                                0.9999999999999969
5.6000000000000005                                3                                                 0.014635286591486954                              14.635286591486953                                1.0000000000000002
5.6000000000000005                                3                                                 0.0162604277454374                                16.260427745437397                                0.9999999999999982
5.6000000000000005                                3                                                 0.016740301160105067                              16.740301160105066                                0.9999999999999997
5.6000000000000005                                3                                                 0.019737135351877558                              19.73713535187756                                 1
5.6000000000000005                                3                                                 0.020720271805721127                              20.720271805721126                                0.9999999999999991
5.6000000000000005                                3                                                 0.024580687785314595                              24.58068778531459                                 1.0000000000000002
5.6000000000000005                                3                                                 0.02510885731727984                               25.108857317279835                                0.9999999999999987
5.6000000000000005                                3                                                 0.02634453929537514                               26.34453929537514                                 1.0000000000000013
5.6000000000000005                                3                                                 0.030685294739736732                              30.68529473973673                                 1.0000000000000004
5.6000000000000005                                3                                                 0.03357631608893068                               33.576316088930675                                0.9999999999999998
5.6000000000000005                                3                                                 0.03797123117345924                               37.97123117345924                                 0.9999999999999984
