% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 27 2026, 21:01
% Table:              Tabla 9 - Valor propio 2
% n                                               lambda                                            Energía propia (eV)                               Probabilidad total (1)
1.96                                              0.08467151317003008                               0.08467151317003008                               1.0000000000000004
1.96                                              0.08560293335788387                               0.08560293335788387                               0.9999999999999997
1.96                                              0.08909367967160056                               0.08909367967160058                               0.9999999999999971
1.96                                              0.08969711977088637                               0.08969711977088637                               0.9999999999999987
1.98                                              0.08260942350452972                               0.08260942350452972                               0.9999999999999991
1.98                                              0.08469066886843842                               0.08469066886843842                               1.0000000000000004
1.98                                              0.08560723333100509                               0.08560723333100509                               1.0000000000000004
1.98                                              0.08909389277230866                               0.08909389277230867                               0.9999999999999991
1.98                                              0.08995763521988007                               0.08995763521988008                               0.9999999999999989
2                                                 0.08285826553815286                               0.08285826553815286                               1.0000000000000027
2                                                 0.08471469828608173                               0.08471469828608173                               1.000000000000002
2                                                 0.0856109861951308                                0.0856109861951308                                0.9999999999999999
2                                                 0.0890939896691278                                0.0890939896691278                                0.9999999999999992
2                                                 0.09021409255244506                               0.09021409255244507                               1.0000000000000038
2.02                                              0.08309572253514133                               0.08309572253514133                               1.0000000000000009
2.02                                              0.08474540036230274                               0.08474540036230274                               1.0000000000000004
2.02                                              0.0856142896649092                                0.0856142896649092                                0.9999999999999977
2.02                                              0.08909407235229844                               0.08909407235229844                               1.0000000000000007
2.02                                              0.09046650443484479                               0.09046650443484479                               0.9999999999999994
2.04                                              0.08331931104822637                               0.08331931104822637                               1.0000000000000004
2.04                                              0.08478531709230938                               0.08478531709230938                               0.9999999999999987
2.04                                              0.08561721858510815                               0.08561721858510817                               1
2.04                                              0.08909423343292525                               0.08909423343292525                               0.9999999999999999
2.04                                              0.09071483525434947                               0.09071483525434948                               1.0000000000000024
2.06                                              0.08352566887860903                               0.08352566887860903                               1.0000000000000009
2.06                                              0.08483793025299553                               0.08483793025299555                               1.0000000000000007
2.06                                              0.08561983322088117                               0.08561983322088117                               1.0000000000000009
2.06                                              0.08909434697173846                               0.08909434697173846                               0.9999999999999993
