% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 11 2026, 13:52
% Table:              Tabla 4 - Valor propio
% n                                               lambda                                            Energía propia (meV)                              Probabilidad total (1)
1.8                                               0.04458660835495637                               44.58660835495637                                 1.0000000000000013
1.8                                               0.05408987966171304                               54.089879661713034                                1.0000000000000004
1.8                                               0.05408988076921326                               54.08988076921326                                 0.9999999999999998
1.8                                               0.05489458915683538                               54.89458915683537                                 0.9999999999999993
1.8                                               0.055018936914898155                              55.01893691489815                                 0.9999999999999991
1.8                                               0.06482881493346615                               64.82881493346615                                 1
1.8                                               0.06482881539534019                               64.82881539534019                                 1
1.8                                               0.06837196276845497                               68.37196276845496                                 1.0000000000000018
1.8                                               0.0692042192201157                                69.2042192201157                                  1.0000000000000004
1.8                                               0.06920425853561801                               69.20425853561801                                 1.0000000000000002
1.8                                               0.07169092838681414                               71.69092838681412                                 0.999999999999999
1.8                                               0.0716913398798034                                71.6913398798034                                  1.0000000000000024
1.8                                               0.07585164758696827                               75.85164758696827                                 1.0000000000000022
1.8                                               0.07585165605245899                               75.85165605245898                                 1.000000000000002
1.8                                               0.07673759550655797                               76.73759550655797                                 1.0000000000000004
1.8                                               0.07673759686334018                               76.73759686334017                                 1.0000000000000013
1.8                                               0.08167715908876064                               81.67715908876063                                 1.0000000000000007
1.8                                               0.0816771720710349                                81.6771720710349                                  1.0000000000000016
1.8                                               0.08352833934808442                               83.5283393480844                                  1
1.8                                               0.08552472185408343                               85.52472185408341                                 0.9999999999999998
1.8                                               0.08917087875811613                               89.17087875811613                                 0.9999999999999981
1.8                                               0.08917088466770269                               89.1708846677027                                  1.0000000000000004
1.8                                               0.08975818554711062                               89.75818554711061                                 1.0000000000000009
1.8                                               0.08975818773826581                               89.7581877382658                                  1.000000000000001
1.8                                               0.09833029270761656                               98.33029270761654                                 0.9999999999999987
1.8                                               0.09833029906191172                               98.3302990619117                                  1.0000000000000013
1.8                                               0.10384222092011078                               103.84222092011076                                0.9999999999999988
1.8                                               0.10384222698009306                               103.84222698009306                                1.0000000000000013
1.8                                               0.1091454981369256                                109.14549813692558                                0.9999999999999983
1.8                                               0.10914550386662694                               109.14550386662692                                1.0000000000000018
1.8                                               0.11895129335287599                               118.95129335287598                                0.9999999999999987
1.8                                               0.1189512939650613                                118.95129396506128                                0.9999999999999993
1.8                                               0.12159586601845854                               121.59586601845852                                0.9999999999999999
1.8                                               0.12159587433275297                               121.59587433275297                                0.9999999999999989
1.8                                               0.1261310175107183                                126.13101751071831                                1.0000000000000007
1.8                                               0.12613943381934242                               126.13943381934241                                1.0000000000000002
1.8                                               0.13505596537452544                               135.0559653745254                                 0.9999999999999996
2                                                 0.01716418556386469                               17.164185563864688                                1.0000000000000018
2                                                 0.017950206914485164                              17.950206914485165                                1.0000000000000004
