% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 10 2026, 14:15
% Table:              Tabla 2 - Valor propio 3
% x_0 (nm)                                        lambda                                            Energía propia (meV)                              Probabilidad total (1)
-33.99999999999999                                0.12800880626948274                               128.00880626948273                                1.0000000000000004
-33.5                                             0.0010699217092119545                             1.0699217092119544                                1.0000000000000009
-33.5                                             0.013902571958862575                              13.902571958862573                                0.9999999999999983
-33.5                                             0.01492650017934087                               14.92650017934087                                 1.0000000000000004
-33.5                                             0.016305189291202116                              16.305189291202115                                1
-33.5                                             0.01669309014509146                               16.693090145091457                                0.9999999999999989
-33.5                                             0.01964588734012547                               19.64588734012547                                 1.0000000000000007
-33.5                                             0.020278963849739068                              20.278963849739064                                0.999999999999998
-33.5                                             0.02466206154029464                               24.662061540294637                                1.000000000000001
-33.5                                             0.025478092192657967                              25.478092192657964                                0.9999999999999986
-33.5                                             0.03115085953401117                               31.15085953401117                                 1.0000000000000007
-33.5                                             0.03216284429813132                               32.16284429813132                                 1.0000000000000004
-33.5                                             0.03889755748544563                               38.897557485445624                                1.0000000000000009
-33.5                                             0.040020232698600174                              40.02023269860017                                 1.0000000000000013
-33.5                                             0.04024404483386525                               40.244044833865246                                1.0000000000000004
-33.5                                             0.04720332669622327                               47.20332669622326                                 1.0000000000000009
-33.5                                             0.04963848668092038                               49.63848668092038                                 1
-33.5                                             0.05155852073493829                               51.55852073493828                                 1.0000000000000022
-33.5                                             0.0517609465476236                                51.7609465476236                                  1.0000000000000013
-33.5                                             0.05318572235210704                               53.185722352107035                                0.9999999999999984
-33.5                                             0.06025396233860969                               60.25396233860968                                 1.0000000000000009
-33.5                                             0.06055503103260241                               60.5550310326024                                  0.9999999999999987
-33.5                                             0.06535108291797839                               65.35108291797839                                 0.9999999999999979
-33.5                                             0.0662181982582415                                66.2181982582415                                  0.9999999999999987
-33.5                                             0.0676663376566928                                67.66633765669279                                 1.0000000000000002
-33.5                                             0.06811976075211122                               68.11976075211122                                 1.0000000000000002
-33.5                                             0.07079640199012864                               70.79640199012863                                 0.9999999999999998
-33.5                                             0.07173714782815019                               71.73714782815019                                 1.0000000000000002
-33.5                                             0.07234685202266347                               72.34685202266347                                 0.9999999999999992
-33.5                                             0.07239094822708482                               72.39094822708482                                 0.9999999999999986
-33.5                                             0.07702368210343075                               77.02368210343073                                 0.9999999999999981
-33.5                                             0.07769831778988788                               77.69831778988787                                 1.0000000000000004
-33.5                                             0.08017676490185884                               80.17676490185883                                 0.9999999999999999
-33.5                                             0.08217358371726878                               82.17358371726877                                 0.9999999999999969
-33.5                                             0.08342665628874997                               83.42665628874995                                 1.0000000000000024
-33.5                                             0.08462985454688363                               84.62985454688362                                 1.0000000000000007
-33.5                                             0.085481334406065                                 85.48133440606499                                 0.9999999999999999
-33.5                                             0.0855132174950006                                85.51321749500059                                 0.9999999999999978
-33.5                                             0.09321790770532351                               93.2179077053235                                  1.0000000000000007
-33.5                                             0.09412687900327238                               94.12687900327236                                 1.0000000000000018
-33.5                                             0.09854807197353013                               98.54807197353013                                 1
-33.5                                             0.09909056904122723                               99.09056904122723                                 0.9999999999999977
-33.5                                             0.10416707549398332                               104.16707549398332                                1
-33.5                                             0.10492570091554923                               104.92570091554921                                1
-33.5                                             0.11306909294656456                               113.06909294656455                                1.0000000000000009
-33.5                                             0.11405487423542936                               114.05487423542934                                0.9999999999999997
-33.5                                             0.11679996928363673                               116.79996928363673                                0.9999999999999979
-33.5                                             0.11738460399910086                               117.38460399910086                                1.0000000000000002
-33.5                                             0.12273438754406549                               122.73438754406547                                1.0000000000000018
-33.5                                             0.12276319925309309                               122.76319925309308                                0.999999999999999
-33.5                                             0.1277904517096472                                127.79045170964719                                1.000000000000001
-33                                               -8.994039174541196E-4                             -0.8994039174541195                               0.9999999999999977
-33                                               0.013794965957676444                              13.794965957676443                                1
-33                                               0.014848551644732741                              14.84855164473274                                 0.9999999999999997
-33                                               0.01621804029136223                               16.21804029136223                                 1.0000000000000009
-33                                               0.016637163361483534                              16.637163361483534                                1.0000000000000013
-33                                               0.01950274592816889                               19.50274592816889                                 1.000000000000001
-33                                               0.02020633781675442                               20.206337816754417                                0.9999999999999989
-33                                               0.024471833037005716                              24.471833037005712                                0.9999999999999994
-33                                               0.025394161515579328                              25.394161515579327                                0.9999999999999994
-33                                               0.030910842029811356                              30.910842029811352                                1.0000000000000018
-33                                               0.03206962427393903                               32.06962427393903                                 1.000000000000002
-33                                               0.038584803197150054                              38.58480319715005                                 0.9999999999999997
-33                                               0.03996529149654147                               39.96529149654146                                 0.9999999999999997
-33                                               0.04014259420412821                               40.14259420412821                                 1.0000000000000004
-33                                               0.04672568343350082                               46.72568343350082                                 1.0000000000000009
-33                                               0.049529294609524065                              49.52929460952406                                 0.9999999999999994
-33                                               0.05150265667322411                               51.50265667322411                                 1.0000000000000007
-33                                               0.05171125456162044                               51.711254561620436                                1.0000000000000044
-33                                               0.052817795141028225                              52.81779514102822                                 1.0000000000000007
-33                                               0.06013571306850194                               60.135713068501936                                1
-33                                               0.060430415602481115                              60.43041560248111                                 1.000000000000001
-33                                               0.06527142997001051                               65.2714299700105                                  1.0000000000000007
-33                                               0.06617787386446114                               66.17787386446113                                 1.000000000000001
-33                                               0.06761384728168421                               67.6138472816842                                  1.0000000000000007
-33                                               0.06807098374741302                               68.07098374741301                                 0.9999999999999988
-33                                               0.07067512622399921                               70.6751262239992                                  1.0000000000000002
-33                                               0.07163745173355332                               71.6374517335533                                  1
