% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 27 2026, 18:50
% Table:              Tabla 9 - Valor propio 2
% F (kV/cm)                                       lambda                                            Energía propia (eV)                               Probabilidad total (1)
-24.200000000000003                               0.06444304398373188                               0.06444304398373188                               0.9999999999999994
-24.200000000000003                               0.07419355530832249                               0.0741935553083225                                0.9999999999999998
-24.200000000000003                               0.07966612370886347                               0.07966612370886347                               0.9999999999999984
-24.200000000000003                               0.0812087873005021                                0.08120878730050211                               1.0000000000000002
-24.200000000000003                               0.08357660143520201                               0.08357660143520201                               1.0000000000000004
-24.200000000000003                               0.09253593929093347                               0.09253593929093348                               0.9999999999999986
-24.200000000000003                               0.10103431776055485                               0.10103431776055485                               0.9999999999999984
-24.200000000000003                               0.10889777710506623                               0.10889777710506623                               1.0000000000000004
-24.200000000000003                               0.11261795415886644                               0.11261795415886645                               0.9999999999999981
-24.200000000000003                               0.11626585012171345                               0.11626585012171346                               1.0000000000000004
-24.200000000000003                               0.1214200749573201                                0.12142007495732011                               0.9999999999999982
-24.200000000000003                               0.1217061877525795                                0.12170618775257952                               1.0000000000000018
-24.200000000000003                               0.12382953109595957                               0.12382953109595957                               0.999999999999999
-24.200000000000003                               0.12829695141528935                               0.12829695141528935                               0.9999999999999996
-24.200000000000003                               0.13774642707228957                               0.13774642707228957                               1.0000000000000013
-24.200000000000003                               0.13988097644196135                               0.13988097644196135                               0.9999999999999986
-24.200000000000003                               0.15346308893809157                               0.15346308893809157                               0.9999999999999969
-24.200000000000003                               0.15492957019115916                               0.15492957019115916                               1.0000000000000013
-24.200000000000003                               0.1560051509835034                                0.1560051509835034                                1.0000000000000004
-24.200000000000003                               0.17158974905989183                               0.17158974905989183                               1
-24.200000000000003                               0.17161914563663888                               0.1716191456366389                                1.0000000000000018
-24.200000000000003                               0.17175625881313145                               0.17175625881313145                               1.0000000000000007
-24.200000000000003                               0.1728951451030875                                0.1728951451030875                                1.000000000000002
-24.200000000000003                               0.17869502467312615                               0.17869502467312615                               1.0000000000000038
-24.000000000000004                               0.029982552889567485                              0.029982552889567485                              0.9999999999999997
-24.000000000000004                               0.033551936905834356                              0.033551936905834356                              1.000000000000002
-24.000000000000004                               0.0442430008536378                                0.0442430008536378                                0.9999999999999997
-24.000000000000004                               0.047629027313551876                              0.04762902731355188                               0.9999999999999999
-24.000000000000004                               0.054661704610715824                              0.054661704610715824                              0.9999999999999997
-24.000000000000004                               0.0559222596816946                                0.0559222596816946                                0.9999999999999991
-24.000000000000004                               0.06473212155586801                               0.06473212155586801                               0.9999999999999999
-24.000000000000004                               0.07443533924806156                               0.07443533924806156                               0.9999999999999967
-24.000000000000004                               0.07965688127434041                               0.07965688127434041                               0.9999999999999993
-24.000000000000004                               0.08119968324922537                               0.08119968324922537                               0.9999999999999999
-24.000000000000004                               0.08377072195421834                               0.08377072195421834                               1.0000000000000018
-24.000000000000004                               0.09268103319177924                               0.09268103319177924                               1.0000000000000004
-24.000000000000004                               0.10112825436074178                               0.10112825436074178                               0.9999999999999998
-24.000000000000004                               0.10891316253372471                               0.10891316253372473                               1.0000000000000007
-24.000000000000004                               0.11221262346491971                               0.11221262346491971                               0.9999999999999968
-24.000000000000004                               0.11624056594388901                               0.11624056594388901                               1.0000000000000007
-24.000000000000004                               0.12142198059884135                               0.12142198059884136                               1.0000000000000013
-24.000000000000004                               0.12170267732916912                               0.12170267732916912                               0.9999999999999989
-24.000000000000004                               0.12377391479625612                               0.12377391479625612                               0.9999999999999992
